InventoryID,Name,Quantity Available,Restock Price,AddOnPrice,Restock Ordered,Unit,Allegery,Restock Min,Is Topping
1,Sugar,2.00,0.5,1,0,oz,None,40,True
2,Whole Milk,4.00,1,1,0,oz,Dairy,60,True
3,Skim Milk,3.00,0.75,1,0,oz,Dairy,40,True
4,Oat Milk,5.00,1.25,1,0,oz,None,50,True
5,Soy Milk,2.00,0.5,1,0,oz,None,40,True
6,Condensed Milk,3.00,0.75,1,0,oz,Dairy,30,True
7,Coconut Milk,6.00,1.5,1,0,oz,None,40,True
8,Non-dairy Creamer,8.00,2,1,0,oz,None,60,True
9,Ice Cream,8.00,4,1.5,0,oz,Dairy,20,True
10,Black Tea,7.00,1.75,1,0,oz,None,80,True
11,Green Tea,5.00,1.25,1,0,oz,None,70,True
12,Oolong Tea,10.00,2.5,1,0,oz,None,60,True
13,Thai Tea,3.00,0.75,1,0,oz,Dairy,50,True
14,Honey,12.00,3,1,0,oz,None,40,True
15,Honey Jelly,12.00,3,1,0,oz,None,30,True
16,Lychee Jelly,12.00,3,1,0,oz,None,30,True
17,Stevia,11.00,2.75,1,0,oz,None,20,True
18,Taro powder,5.00,1.25,1,0,oz,Dairy,25,True
19,Matcha powder,6.00,1.5,1,0,oz,None,25,True
20,Chocolate syrup,2.00,0.5,1,0,oz,Nuts,20,True
21,Coffee syrup,4.00,1,1,0,oz,None,30,True
22,Coffee Jelly,4.00,1,1,0,oz,None,25,True
23,Tapioca pearls,7.00,1.75,1,0,oz,None,50,True
24,Crystal Boba,7.00,1.75,1,0,oz,None,50,True
25,Strawberry popping boba,9.00,2.25,1,0,oz,None,40,True
26,Mango popping boba,9.00,2.25,1,0,oz,None,40,True
27,Ice,15.00,3.75,1,0,oz,None,200,False
28,Small cups,8.00,2,1,0,Cups,None,400,False
29,Medium cups,8.00,2,1,0,Cups,None,500,False
30,Large cups,8.00,2,1,0,Cups,None,500,False
31,Lids,7.00,1.75,1,0,Lids,None,600,False
32,Straws,5.00,1.25,1,0,Straws,None,600,False
33,Drink Holder,5.00,1.25,1,0,Bags,None,300,False
